"Pais","Año","Sexo","Prev.cardiac","Prev.diab","Prev.hiper","Region","Media.obes","Porcentaje.gastos","Gasto.total","Porcentaje.gastos_log"
"Canada",2002,"Men",0.786701530900019,-0.37607677974627,1.9074264278766,"Americas",0.115260920345733,3895.856308,9.37,1.50071293095441
"Canada",2002,"Women",0.824850986301028,-0.838161711180871,-0.0626224568171036,"Americas",0.0194153366059372,3895.856308,9.37,1.50071293095441
"Canada",2003,"Women",0.73716977896953,-0.811303295345293,-0.164962658619374,"Americas",0.073643758985032,4687.845565,9.54,1.59066894514305
"Canada",2003,"Men",0.789578375077801,-0.327323067806084,1.8306712765249,"Americas",0.18714510815058,4687.845565,9.54,1.59066894514305
"Canada",2003,"Women",0.73716977896953,-0.811303295345293,-1.95591619015911,"Americas",0.073643758985032,4687.845565,9.54,1.59066894514305
"Canada",2003,"Men",0.789578375077801,-0.327323067806084,-0.292887910872212,"Americas",0.18714510815058,4687.845565,9.54,1.59066894514305
"Canada",2004,"Women",0.670376961972355,-0.785829759547387,-2.03267134151081,"Americas",0.122827676956769,5513.329924,9.56,1.66951393146696
"Canada",2004,"Women",0.670376961972355,-0.785829759547387,-0.292887910872212,"Americas",0.122827676956769,5513.329924,9.56,1.66951393146696
"Canada",2004,"Men",0.659995306896015,-0.280038084284916,-0.395228112674483,"Americas",0.253984791548068,5513.329924,9.56,1.66951393146696
"Canada",2004,"Men",0.659995306896015,-0.280038084284916,1.72833107472263,"Americas",0.253984791548068,5513.329924,9.56,1.66951393146696
"Canada",2005,"Women",0.614591200959733,-0.762744649385788,-2.13501154331308,"Americas",0.169489342724828,6333.177967,9.57,1.73690689879461
"Canada",2005,"Men",0.57293950047273,-0.236235180126697,-0.523153364927321,"Americas",0.3157799705382,6333.177967,9.57,1.73690689879461
"Canada",2005,"Women",0.614591200959733,-0.762744649385788,-0.42081316312505,"Americas",0.169489342724828,6333.177967,9.57,1.73690689879461
"Canada",2005,"Men",0.57293950047273,-0.236235180126697,1.62599087292036,"Americas",0.3157799705382,6333.177967,9.57,1.73690689879461
"Canada",2006,"Women",0.456614931545066,-0.740542727594629,-2.21176669466479,"Americas",0.211106504085528,771.1817686,9.75,0.71368859888539
"Canada",2006,"Men",0.474376317338322,-0.194976522849465,-0.65107861718016,"Americas",0.373791771222813,771.1817686,9.75,0.71368859888539
"Canada",2006,"Men",0.474376317338322,-0.194976522849465,1.52365067111809,"Americas",0.373791771222813,771.1817686,9.75,0.71368859888539
"Canada",2006,"Women",0.456614931545066,-0.740542727594629,-0.523153364927321,"Americas",0.211106504085528,771.1817686,9.75,0.71368859888539
